순위,제목,장르1,장르2,장르3
167,新斗罗大陆,롤플레잉,,
168,从细胞到奇点,전략,시뮬레이션,
169,星战前夜：无烬星河,롤플레잉,MMORPG,
170,沙盒,전략,인디,
171,英雄杀,전략,카드,
172,最强蜗牛,전략,방치형,
173,想不想修真,시뮬레이션,어드벤처,퍼즐
174,搏击长空：无限战机,액션,飞机,
175,生存战争,전략,시뮬레이션,
176,植物大战僵尸3,전략,,
177,模拟城市：我是市长,시뮬레이션,,
178,啪啪游戏厅,전략,시뮬레이션,
179,暗区突围,어드벤처,액션,
180,王国纪元,전략,,
181,天谕,어드벤처,,
182,跑得快,카드,,
183,暗影格斗3,롤플레잉,,
184,暴走英雄坛,롤플레잉,퍼즐,어드벤처
185,复古传奇,액션,어드벤처,
186,天天酷跑,竞速,,
187,腾讯围棋,보드,전략,
188,蜀门,롤플레잉,인디,
189,微乐家乡麻将,카드,,
190,率土之滨,전략,,
191,冒险岛手游,롤플레잉,어드벤처,
192,欢乐麻将(全集),보드,麻将,
193,云上城之歌,롤플레잉,MMORPG,
194,欢乐麻将(升级版),카드,,
195,航海王：燃烧意志,롤플레잉,,
196,掼蛋,카드,,
197,狼人,보드,인디,
198,禅游斗地主,보드,카드,
199,四川麻将,카드,,
200,这是我的战争,전략,시뮬레이션,
