순위,제목,출시날짜,장르1,장르2
690,White Dove,2019,RPG,
691,战争纪元,2017,인디,
692,Amazing Frog？,2014,액션,기타
693,Rakuen,2017,인디,
694,Lucius,2012,RPG,
695,Legions of Steel,2015,전략,
696,My Friend Pedro,2019,슈팅,
697,Fate/EXTELLA LINK,2019,액션,기타
698,Wushu Chronicles,2019,액션,어드벤쳐
699,石河伦吾的朋友们,,인디,
700,模拟农场2013,2013,전략,시뮬레이션
701,Dicey Dungeons,2019,퍼즐,기타
702,仙剑奇侠传一,1995,RPG,
703,Evil Genome ,2017,RPG,기타
704,连线,,퍼즐,기타
705,格兰蒂亚秘闻,2015,RPG,
706,Build-A-Lot,2007,전략,시뮬레이션
707,6.0,2019,액션,플랫폼
708,MyCompany996,2020,인디,
709,Rain City,2021,퍼즐,观察
710,Tiny Troopers 2,2017,슈팅,
711,Hob,2017,인디,
712,Raksasi,2019,액션,기타
713,Stoneshard,2020,인디,
714,Super Seducer 2 - Advanced Seduction Tactics,2018,RPG,
715,Shadow Corridor,2019,액션,어드벤쳐
716,Hoa,2021,인디,
717,僵尸模拟器,2021,전략,시뮬레이션
718,Age of Wonders: Planetfall,2019,전략,
719,Cat Quest II,2019,RPG,
720,2100,2019,인디,
721,The Beast Inside,2019,액션,기타
722,Dig or Die,2018,액션,어드벤쳐
723,月影之塔,2020,RPG,
724,Agarest: Generations of War,2014,RPG,
725,Yuppie Psycho,2019,RPG,기타
726,Not For Broadcast,2020,전략,시뮬레이션
727,Party Hard 2,2018,전략,기타
728,苍之彼方的四重奏,2019,RPG,
729,库贝尔的枷锁,2020,RPG,
730,风信楼,2020,전략,시뮬레이션
731,Panzer Corps 2,2020,전략,
732,铁血联盟：卷土重来,2011,RPG,기타
733,朗克历险记,2019,액션,어드벤쳐
734,LoveChoice,2018,RPG,기타
735,Five Nights At Freddy's 3,2015,RPG,
736,Kingdoms Reborn,2020,전략,시뮬레이션
737,Destroy All Humans,2020,슈팅,
738,大老爷,2019,RPG,기타
739,Gems of War - Puzzle RPG,2014,퍼즐,消除
740,极速骑行3,2018,레이싱,摩托车
741,I am an Air Traffic Controller 4,2020,인디,
742,金辉恋曲四重奏,2021,전략,시뮬레이션
743,校长模拟器,2021,전략,시뮬레이션
744,巅峰骑士团,2019,RPG,기타
745,言出法随,2021,액션,기타
746,武装突袭2,2009,슈팅,
747,深红之狱的女剑士 - 蒂娜,2019,RPG,기타
748,爱上火车,2020,전략,养成
749,外科模拟2,,인디,
750,Supreme Commander 2,2010,전략,
751,圣三国英杰传,2020,전략,시뮬레이션
752,Frag,2020,전략,시뮬레이션
753,ABZU,2016,액션,기타
754,Generation Zero,2019,액션,어드벤쳐
755,圣骑士露比莉亚丝,2019,인디,
756,Special Warfare,,슈팅,
757,NUTS,2021,전략,시뮬레이션
758,Nightmare Game,2019,퍼즐,
759,死亡直播间,2019,RPG,
760,这是警察2,2018,전략,시뮬레이션
761,Koi,2019,RPG,기타
762,防御阵型2,2014,인디,
763,狂父,2016,RPG,기타
764,末日拾荒者,2014,액션,어드벤쳐
765,Sacred 3,2014,RPG,
766,The Town of Light,2016,RPG,기타
767,The Colonists,2018,전략,시뮬레이션
768,宝可梦：漆黑的魅影,2016,RPG,
769,Project Hospital,2018,전략,시뮬레이션
770,Titan Souls,2015,RPG,
